date,package,version,release_record
2020-11-23,healthyR.data,1.0.0,1
2020-12-03,healthyR,0.1.0,1
2020-12-05,healthyR,0.1.1,1
2021-01-22,healthyR.ts,0.1.0,1
2021-02-09,healthyR.ts,0.1.1,1
2021-02-17,healthyverse,1.0.0,1
2021-02-23,healthyR,0.1.2,1
2021-04-09,healthyR.data,1.0.1,1
2021-06-03,healthyR,0.1.3,1
2021-06-13,healthyR,0.1.4,1
2021-06-22,healthyR,0.1.5,1
2021-06-25,healthyR.ts,0.1.2,1
2021-08-20,healthyR.ai,0.0.1,1
2021-08-20,healthyR,0.1.6,1
2021-08-23,healthyR.ts,0.1.3,1
2021-08-23,healthyverse,1.0.1,1
2021-09-03,healthyR.ai,0.0.2,1
2021-10-31,healthyR.ts,0.1.4,1
2021-11-11,healthyR.ts,0.1.5,1
2021-11-23,healthyR.ai,0.0.3,1
2021-12-04,healthyR.ts,0.1.6,1
2021-12-08,healthyR.ai,0.0.4,1
2021-12-11,healthyR.ts,0.1.7,1
2022-01-05,healthyR,0.1.7,1
2022-01-07,healthyR.ai,0.0.5,1
2022-01-21,TidyDensity,0.0.1,1
2022-01-21,healthyverse,1.0.2,1
2022-02-25,healthyR.ts,0.1.8,1
2022-02-27,healthyR,0.1.8,1
2022-02-28,healthyR.ai,0.0.6,1
2022-03-08,TidyDensity,1.0.0,1
2022-03-27,TidyDensity,1.0.1,1
2022-04-25,healthyR,0.1.9,1
2022-04-26,healthyR.ts,0.1.9,1
2022-04-29,healthyR.ai,0.0.7,1
2022-05-06,TidyDensity,1.1.0,1
2022-06-08,TidyDensity,1.2.0,1
2022-06-09,healthyR.ts,0.2.0,1
2022-07-04,healthyR.ai,0.0.8,1
2022-07-18,healthyR,0.2.0,1
2022-07-19,healthyR.ts,0.2.1,1
2022-07-19,TidyDensity,1.2.1,1
2022-08-07,healthyR.ts,0.2.2,1
2022-08-10,TidyDensity,1.2.2,1
2022-10-03,healthyR.ts,0.2.3,1
2022-10-04,TidyDensity,1.2.3,1
2022-10-04,healthyR.ai,0.0.9,1
2022-11-10,healthyR.ts,0.2.4,1
2022-11-16,healthyR.ai,0.0.10,1
2022-11-16,TidyDensity,1.2.4,1
2022-11-16,healthyR.ts,0.2.5,1
2023-01-06,healthyR.ts,0.2.6,1
2023-01-12,healthyR.ai,0.0.11,1
2023-01-21,healthyR.data,1.0.2,1
2023-01-28,healthyR.ts,0.2.7,1
2023-02-01,healthyR.ai,0.0.12,1
2023-02-16,tidyAML,0.0.1,1
2023-02-21,healthyverse,1.0.3,1
2023-04-03,healthyR.ai,0.0.13,1
2023-04-06,healthyR,0.2.1,1
2023-04-14,healthyR.ts,0.2.8,1
2023-04-18,healthyverse,1.0.4,1
2023-04-20,tidyAML,0.0.2,1
2023-05-05,healthyR.data,1.0.3,1
2023-05-19,TidyDensity,1.2.5,1
2023-06-24,healthyR.ts,0.2.9,1
2023-08-22,healthyR.ts,0.2.10,1
2023-10-14,healthyR.ts,0.2.11,1
2023-10-30,TidyDensity,1.2.6,1
2023-11-15,healthyR.ts,0.3.0,1
2023-11-29,tidyAML,0.0.3,1
2024-01-09,TidyDensity,1.3.0,1
2024-01-09,tidyAML,0.0.4,1
2024-03-12,tidyAML,0.0.5,1
